ID,Name,Year,Type,Value
09AE002,Teslin Lake at Teslin ,2007,Level,
09AE002,Teslin Lake at Teslin ,2021,Level,
09AA004,Bennett Lake at Carcross,2007,Level,3.48
09AA004,Bennett Lake at Carcross,2021,Level,3.65
09AA017,Tagish Lake at 10 Mile,2007,Level,8.4
09AA017,Tagish Lake at 10 Mile,2021,Level,8.51
09AB004,Marsh Lake near Whitehorse ,2007,Level,3.99
09AB004,Marsh Lake near Whitehorse ,2021,Level,4.21
09AB010,Lake Laberge near Whitehorse,2007,Level,9.3
09AB010,Lake Laberge near Whitehorse,2021,Level,9.743
10AA001,Liard at Upper Crossing,2007,Level,
10AA001,Liard at Upper Crossing,2021,Level,
09DC006,Stewart River near Mayo ,2007,Level,
09DC006,Stewart River near Mayo ,2021,Level,
09BC001,Pelly River at Pelly Crossing,2007,Level,
09BC001,Pelly River at Pelly Crossing,2021,Level,
09BC002,Pelly River at Ross River,2007,Level,
09BC002,Pelly River at Ross River,2021,Level,
09AB001,Yukon River at Whitehorse,2007,Level,
09AB001,Yukon River at Whitehorse,2021,Level,31.428
09AH001,Yukon River at Carmacks,2007,Level,
09AH001,Yukon River at Carmacks,2021,Level,
09EB001,Yukon River at Dawson ,2007,Level,
09EB001,Yukon River at Dawson ,2021,Level,
09EA003,Klondike River above Bonanza,2007,Level,
09EA003,Klondike River above Bonanza,2021,Level,
09FD003,Porcupine River Below Old Crow,2007,Level,
09FD003,Porcupine River Below Old Crow,2021,Level,
